1,2,3,4,5,6,7
(1,2,0.127321)
(1,3,0.127128)
(1,4,0.1353)
(1,5,0.1196)
(1,6,0.1268)
(1,7,0.1293)
(1,2,0.118718)
(2,3,0.125052)
(2,4,0.126839)
(2,5,0.123248)
(2,6,0.127073)
(2,7,0.125035)
(1,3,0.123632)
(2,3,0.127013)
(3,4,0.122915)
(3,5,0.127111)
(3,6,0.126138)
(3,7,0.12875)
(1,4,0.1351)
(2,4,0.126303)
(3,4,0.125888)
(4,5,0.125224)
(4,6,0.124803)
(4,7,0.126933)
(1,5,0.1291)
(2,5,0.123627)
(3,5,0.122236)
(4,5,0.117954)
(5,6,0.124843)
(1,6,0.0974)
(2,6,0.127221)
(3,6,0.1306)
(4,6,0.123683)
(5,6,0.12645)
(6,7,0.11965)
(2,7,0.130625)
(3,7,0.128008)
(4,7,0.125967)
(6,7,0.1294)
(2,1,0.127321)
(3,1,0.127128)
(4,1,0.1353)
(5,1,0.1196)
(6,1,0.1268)
(7,1,0.1293)
(2,1,0.118718)
(3,2,0.125052)
(4,2,0.126839)
(5,2,0.123248)
(6,2,0.127073)
(7,2,0.125035)
(3,1,0.123632)
(3,2,0.127013)
(4,3,0.122915)
(5,3,0.127111)
(6,3,0.126138)
(7,3,0.12875)
(4,1,0.1351)
(4,2,0.126303)
(4,3,0.125888)
(5,4,0.125224)
(6,4,0.124803)
(7,4,0.126933)
(5,1,0.1291)
(5,2,0.123627)
(5,3,0.122236)
(5,4,0.117954)
(6,5,0.124843)
(6,1,0.0974)
(6,2,0.127221)
(6,3,0.1306)
(6,4,0.123683)
(6,5,0.12645)
(7,6,0.11965)
(7,2,0.130625)
(7,3,0.128008)
(7,4,0.125967)
(7,6,0.1294)
#
2
y
