1,2,3,4,5,6,7,9
(1,2,0.120743)
(1,3,0.109767)
(1,4,0.122344)
(1,5,0.125482)
(1,7,0.113975)
(1,2,0.124336)
(2,3,0.125719)
(2,4,0.12317)
(2,5,0.124857)
(2,6,0.11749)
(2,7,0.12367)
(2,3,0.120713)
(3,4,0.124489)
(3,5,0.123914)
(3,7,0.1298)
(1,4,0.11886)
(2,4,0.123066)
(3,4,0.123942)
(4,5,0.125049)
(4,6,0.126492)
(4,7,0.123885)
(1,5,0.131633)
(2,5,0.125387)
(3,5,0.12605)
(4,5,0.125913)
(5,6,0.115386)
(5,7,0.122482)
(1,6,0.1324)
(2,6,0.122256)
(4,6,0.1227)
(5,6,0.114568)
(6,7,0.124533)
(1,7,0.12755)
(2,7,0.125613)
(3,7,0.1177)
(4,7,0.1268)
(5,7,0.124331)
(6,7,0.123967)
(4,9,0.1206)
(2,1,0.120743)
(3,1,0.109767)
(4,1,0.122344)
(5,1,0.125482)
(7,1,0.113975)
(2,1,0.124336)
(3,2,0.125719)
(4,2,0.12317)
(5,2,0.124857)
(6,2,0.11749)
(7,2,0.12367)
(3,2,0.120713)
(4,3,0.124489)
(5,3,0.123914)
(7,3,0.1298)
(4,1,0.11886)
(4,2,0.123066)
(4,3,0.123942)
(5,4,0.125049)
(6,4,0.126492)
(7,4,0.123885)
(5,1,0.131633)
(5,2,0.125387)
(5,3,0.12605)
(5,4,0.125913)
(6,5,0.115386)
(7,5,0.122482)
(6,1,0.1324)
(6,2,0.122256)
(6,4,0.1227)
(6,5,0.114568)
(7,6,0.124533)
(7,1,0.12755)
(7,2,0.125613)
(7,3,0.1177)
(7,4,0.1268)
(7,5,0.124331)
(7,6,0.123967)
(9,4,0.1206)
#
2
y
