2,3,5,6,8,9,10,12,23,29,20,21,22
(2,3,0.123382)
(2,9,0.1334)
(2,12,0.125767)
(2,3,0.125124)
(3,5,0.1175)
(3,6,0.114975)
(3,9,0.1192)
(3,10,0.10695)
(3,12,0.127011)
(3,23,0.134)
(3,29,0.1329)
(3,5,0.123025)
(5,12,0.13115)
(3,6,0.118425)
(6,8,0.1248)
(6,9,0.1281)
(6,12,0.11625)
(2,8,0.1294)
(3,8,0.115542)
(8,9,0.13185)
(8,12,0.132933)
(2,9,0.129575)
(3,9,0.131144)
(6,9,0.12725)
(9,12,0.12597)
(9,20,0.1336)
(3,10,0.129175)
(9,10,0.1287)
(10,12,0.1339)
(3,12,0.127817)
(9,12,0.126533)
(12,20,0.13025)
(3,21,0.13205)
(3,22,0.1056)
(12,23,0.1239)
(3,29,0.1335)
(3,2,0.123382)
(9,2,0.1334)
(12,2,0.125767)
(3,2,0.125124)
(5,3,0.1175)
(6,3,0.114975)
(9,3,0.1192)
(10,3,0.10695)
(12,3,0.127011)
(23,3,0.134)
(29,3,0.1329)
(5,3,0.123025)
(12,5,0.13115)
(6,3,0.118425)
(8,6,0.1248)
(9,6,0.1281)
(12,6,0.11625)
(8,2,0.1294)
(8,3,0.115542)
(9,8,0.13185)
(12,8,0.132933)
(9,2,0.129575)
(9,3,0.131144)
(9,6,0.12725)
(12,9,0.12597)
(20,9,0.1336)
(10,3,0.129175)
(10,9,0.1287)
(12,10,0.1339)
(12,3,0.127817)
(12,9,0.126533)
(20,12,0.13025)
(21,3,0.13205)
(22,3,0.1056)
(23,12,0.1239)
(29,3,0.1335)
#
2
y
