2,3,4,5,6,10,15,31,23,30,18,9,13,40
(2,3,0.132167)
(2,5,0.1252)
(2,6,0.135825)
(2,15,0.1224)
(2,31,0.137)
(3,5,0.1333)
(3,6,0.133741)
(3,10,0.1379)
(3,15,0.131629)
(3,23,0.1161)
(3,30,0.1395)
(4,6,0.134867)
(3,5,0.133843)
(5,6,0.12928)
(5,15,0.1334)
(5,18,0.1364)
(5,23,0.1344)
(5,30,0.1336)
(3,6,0.132)
(5,6,0.133)
(6,18,0.13725)
(6,30,0.136075)
(3,9,0.1339)
(3,10,0.124909)
(5,10,0.1347)
(10,31,0.1248)
(2,13,0.1311)
(3,13,0.1177)
(5,13,0.13115)
(6,13,0.132425)
(3,15,0.136667)
(5,15,0.12395)
(10,15,0.1359)
(3,18,0.1254)
(5,18,0.126975)
(6,18,0.13146)
(3,23,0.136833)
(6,23,0.1247)
(3,30,0.1346)
(5,30,0.1221)
(6,30,0.1331)
(3,40,0.1335)
(3,2,0.132167)
(5,2,0.1252)
(6,2,0.135825)
(15,2,0.1224)
(31,2,0.137)
(5,3,0.1333)
(6,3,0.133741)
(10,3,0.1379)
(15,3,0.131629)
(23,3,0.1161)
(30,3,0.1395)
(6,4,0.134867)
(5,3,0.133843)
(6,5,0.12928)
(15,5,0.1334)
(18,5,0.1364)
(23,5,0.1344)
(30,5,0.1336)
(6,3,0.132)
(6,5,0.133)
(18,6,0.13725)
(30,6,0.136075)
(9,3,0.1339)
(10,3,0.124909)
(10,5,0.1347)
(31,10,0.1248)
(13,2,0.1311)
(13,3,0.1177)
(13,5,0.13115)
(13,6,0.132425)
(15,3,0.136667)
(15,5,0.12395)
(15,10,0.1359)
(18,3,0.1254)
(18,5,0.126975)
(18,6,0.13146)
(23,3,0.136833)
(23,6,0.1247)
(30,3,0.1346)
(30,5,0.1221)
(30,6,0.1331)
(40,3,0.1335)
#
2
y
