2,4,7,8,10,16,14,22,30,37,23,31,13,21,41
(2,4,0.1286)
(2,7,0.129775)
(2,10,0.128133)
(2,14,0.1224)
(2,4,0.1299)
(4,7,0.1293)
(4,10,0.127489)
(4,14,0.133)
(4,16,0.1359)
(4,22,0.1333)
(4,30,0.1336)
(4,37,0.1359)
(2,7,0.12035)
(4,7,0.13075)
(7,8,0.1292)
(7,10,0.128547)
(7,14,0.128867)
(7,16,0.124217)
(7,23,0.1211)
(7,31,0.1248)
(7,37,0.1113)
(7,8,0.1201)
(4,10,0.1278)
(7,10,0.129489)
(8,10,0.1337)
(10,16,0.1363)
(10,30,0.1359)
(7,13,0.1299)
(4,14,0.130467)
(7,14,0.1336)
(4,16,0.123936)
(7,16,0.131733)
(10,16,0.128233)
(7,21,0.1272)
(10,22,0.1255)
(10,23,0.1239)
(10,30,0.132233)
(16,30,0.1221)
(7,41,0.1335)
(4,2,0.1286)
(7,2,0.129775)
(10,2,0.128133)
(14,2,0.1224)
(4,2,0.1299)
(7,4,0.1293)
(10,4,0.127489)
(14,4,0.133)
(16,4,0.1359)
(22,4,0.1333)
(30,4,0.1336)
(37,4,0.1359)
(7,2,0.12035)
(7,4,0.13075)
(8,7,0.1292)
(10,7,0.128547)
(14,7,0.128867)
(16,7,0.124217)
(23,7,0.1211)
(31,7,0.1248)
(37,7,0.1113)
(8,7,0.1201)
(10,4,0.1278)
(10,7,0.129489)
(10,8,0.1337)
(16,10,0.1363)
(30,10,0.1359)
(13,7,0.1299)
(14,4,0.130467)
(14,7,0.1336)
(16,4,0.123936)
(16,7,0.131733)
(16,10,0.128233)
(21,7,0.1272)
(22,10,0.1255)
(23,10,0.1239)
(30,10,0.132233)
(30,16,0.1221)
(41,7,0.1335)
#
2
y
