1,2,3,4,5,6,7,9,10
(1,2,0.123614)
(1,3,0.123755)
(1,4,0.128115)
(1,5,0.12605)
(1,6,0.11994)
(1,2,0.120374)
(2,3,0.124006)
(2,4,0.126638)
(2,5,0.121071)
(2,6,0.125644)
(2,7,0.127465)
(1,3,0.121769)
(2,3,0.122921)
(3,4,0.125944)
(3,5,0.124947)
(3,6,0.123469)
(3,7,0.12528)
(3,9,0.1292)
(3,10,0.1269)
(1,4,0.127467)
(2,4,0.127855)
(3,4,0.125807)
(4,5,0.123671)
(4,6,0.122653)
(4,7,0.12722)
(2,5,0.127585)
(3,5,0.12585)
(4,5,0.117563)
(5,6,0.124133)
(1,6,0.1037)
(2,6,0.12314)
(3,6,0.124441)
(4,6,0.12392)
(5,6,0.12586)
(6,7,0.1079)
(2,7,0.124833)
(3,7,0.126358)
(4,7,0.12681)
(6,7,0.1323)
(3,9,0.115)
(2,1,0.123614)
(3,1,0.123755)
(4,1,0.128115)
(5,1,0.12605)
(6,1,0.11994)
(2,1,0.120374)
(3,2,0.124006)
(4,2,0.126638)
(5,2,0.121071)
(6,2,0.125644)
(7,2,0.127465)
(3,1,0.121769)
(3,2,0.122921)
(4,3,0.125944)
(5,3,0.124947)
(6,3,0.123469)
(7,3,0.12528)
(9,3,0.1292)
(10,3,0.1269)
(4,1,0.127467)
(4,2,0.127855)
(4,3,0.125807)
(5,4,0.123671)
(6,4,0.122653)
(7,4,0.12722)
(5,2,0.127585)
(5,3,0.12585)
(5,4,0.117563)
(6,5,0.124133)
(6,1,0.1037)
(6,2,0.12314)
(6,3,0.124441)
(6,4,0.12392)
(6,5,0.12586)
(7,6,0.1079)
(7,2,0.124833)
(7,3,0.126358)
(7,4,0.12681)
(7,6,0.1323)
(9,3,0.115)
#
2
y
