1,2,4,5,6,7,8,9,11,14
(1,4,0.124951)
(1,6,0.1316)
(1,7,0.129133)
(1,8,0.125517)
(1,9,0.1226)
(1,2,0.1272)
(2,4,0.126904)
(2,5,0.1319)
(2,6,0.126088)
(2,7,0.11925)
(2,9,0.116067)
(1,4,0.122559)
(2,4,0.118985)
(4,5,0.1322)
(4,6,0.129243)
(4,7,0.126622)
(4,8,0.1281)
(4,9,0.119583)
(4,11,0.1339)
(4,5,0.12038)
(5,6,0.1348)
(5,7,0.1316)
(5,8,0.1273)
(1,6,0.125983)
(2,6,0.1265)
(4,6,0.124886)
(5,6,0.1278)
(6,7,0.122322)
(6,8,0.126883)
(6,9,0.1294)
(2,7,0.1321)
(4,7,0.126414)
(5,7,0.1202)
(6,7,0.11624)
(7,8,0.12896)
(1,8,0.126117)
(4,8,0.128547)
(5,8,0.1336)
(6,8,0.12952)
(7,8,0.124438)
(1,9,0.124)
(2,9,0.1281)
(4,9,0.119964)
(7,9,0.1198)
(4,14,0.1292)
(4,1,0.124951)
(6,1,0.1316)
(7,1,0.129133)
(8,1,0.125517)
(9,1,0.1226)
(2,1,0.1272)
(4,2,0.126904)
(5,2,0.1319)
(6,2,0.126088)
(7,2,0.11925)
(9,2,0.116067)
(4,1,0.122559)
(4,2,0.118985)
(5,4,0.1322)
(6,4,0.129243)
(7,4,0.126622)
(8,4,0.1281)
(9,4,0.119583)
(11,4,0.1339)
(5,4,0.12038)
(6,5,0.1348)
(7,5,0.1316)
(8,5,0.1273)
(6,1,0.125983)
(6,2,0.1265)
(6,4,0.124886)
(6,5,0.1278)
(7,6,0.122322)
(8,6,0.126883)
(9,6,0.1294)
(7,2,0.1321)
(7,4,0.126414)
(7,5,0.1202)
(7,6,0.11624)
(8,7,0.12896)
(8,1,0.126117)
(8,4,0.128547)
(8,5,0.1336)
(8,6,0.12952)
(8,7,0.124438)
(9,1,0.124)
(9,2,0.1281)
(9,4,0.119964)
(9,7,0.1198)
(14,4,0.1292)
#
2
y
