1,2,3,4,5,7,6,10,8,13,14,21
(1,3,0.123346)
(1,4,0.12911)
(1,6,0.1314)
(1,7,0.11965)
(1,10,0.1214)
(1,2,0.131)
(2,3,0.12305)
(2,6,0.120325)
(1,3,0.123458)
(2,3,0.124117)
(3,4,0.131255)
(3,5,0.11745)
(3,6,0.12628)
(3,7,0.126819)
(3,8,0.1271)
(1,4,0.130257)
(3,4,0.128828)
(4,5,0.1232)
(4,6,0.1244)
(4,7,0.126621)
(4,13,0.1336)
(3,5,0.123271)
(4,5,0.1171)
(5,7,0.1339)
(3,6,0.122626)
(4,6,0.1205)
(1,7,0.126275)
(3,7,0.125911)
(4,7,0.12714)
(1,10,0.1219)
(3,10,0.1269)
(7,10,0.118)
(7,13,0.13025)
(2,14,0.1275)
(3,14,0.121)
(7,14,0.1227)
(3,21,0.1349)
(3,1,0.123346)
(4,1,0.12911)
(6,1,0.1314)
(7,1,0.11965)
(10,1,0.1214)
(2,1,0.131)
(3,2,0.12305)
(6,2,0.120325)
(3,1,0.123458)
(3,2,0.124117)
(4,3,0.131255)
(5,3,0.11745)
(6,3,0.12628)
(7,3,0.126819)
(8,3,0.1271)
(4,1,0.130257)
(4,3,0.128828)
(5,4,0.1232)
(6,4,0.1244)
(7,4,0.126621)
(13,4,0.1336)
(5,3,0.123271)
(5,4,0.1171)
(7,5,0.1339)
(6,3,0.122626)
(6,4,0.1205)
(7,1,0.126275)
(7,3,0.125911)
(7,4,0.12714)
(10,1,0.1219)
(10,3,0.1269)
(10,7,0.118)
(13,7,0.13025)
(14,2,0.1275)
(14,3,0.121)
(14,7,0.1227)
(21,3,0.1349)
#
2
y
