1,2,3,4,5,6,7,9
(1,2,0.124176)
(1,3,0.121881)
(1,4,0.124852)
(1,6,0.12139)
(1,7,0.124675)
(1,2,0.124397)
(2,3,0.123292)
(2,4,0.125192)
(2,5,0.120988)
(2,6,0.125524)
(2,7,0.125513)
(1,3,0.121377)
(2,3,0.124895)
(3,4,0.120605)
(3,5,0.124467)
(3,6,0.125458)
(3,7,0.12589)
(1,4,0.125883)
(2,4,0.117055)
(3,4,0.120769)
(4,5,0.119258)
(4,6,0.12229)
(4,7,0.12575)
(1,5,0.1312)
(2,5,0.125328)
(3,5,0.123894)
(4,5,0.117039)
(5,6,0.1216)
(1,6,0.124054)
(2,6,0.13055)
(3,6,0.122825)
(4,6,0.12322)
(5,6,0.119433)
(6,7,0.1207)
(1,7,0.1291)
(2,7,0.126267)
(3,7,0.125603)
(4,7,0.1231)
(6,7,0.13185)
(3,9,0.1206)
(2,1,0.124176)
(3,1,0.121881)
(4,1,0.124852)
(6,1,0.12139)
(7,1,0.124675)
(2,1,0.124397)
(3,2,0.123292)
(4,2,0.125192)
(5,2,0.120988)
(6,2,0.125524)
(7,2,0.125513)
(3,1,0.121377)
(3,2,0.124895)
(4,3,0.120605)
(5,3,0.124467)
(6,3,0.125458)
(7,3,0.12589)
(4,1,0.125883)
(4,2,0.117055)
(4,3,0.120769)
(5,4,0.119258)
(6,4,0.12229)
(7,4,0.12575)
(5,1,0.1312)
(5,2,0.125328)
(5,3,0.123894)
(5,4,0.117039)
(6,5,0.1216)
(6,1,0.124054)
(6,2,0.13055)
(6,3,0.122825)
(6,4,0.12322)
(6,5,0.119433)
(7,6,0.1207)
(7,1,0.1291)
(7,2,0.126267)
(7,3,0.125603)
(7,4,0.1231)
(7,6,0.13185)
(9,3,0.1206)
#
2
y
