1,2,3,4,5,6,7,13
(1,2,0.124176)
(1,3,0.124753)
(1,5,0.127267)
(1,6,0.123782)
(1,7,0.11945)
(1,2,0.125779)
(2,3,0.12635)
(2,4,0.130743)
(2,5,0.124545)
(2,6,0.124883)
(2,7,0.12635)
(1,3,0.119164)
(2,3,0.1253)
(3,4,0.122933)
(3,5,0.12685)
(3,6,0.120028)
(3,7,0.121422)
(3,13,0.12675)
(2,4,0.12565)
(3,4,0.125218)
(4,5,0.12332)
(4,6,0.130243)
(4,7,0.12405)
(1,5,0.1333)
(2,5,0.123433)
(3,5,0.125902)
(4,5,0.1274)
(5,6,0.126514)
(1,6,0.124238)
(2,6,0.13285)
(3,6,0.122682)
(4,6,0.128833)
(5,6,0.123271)
(6,7,0.1335)
(1,7,0.1307)
(3,7,0.125588)
(5,7,0.1198)
(3,13,0.1266)
(2,1,0.124176)
(3,1,0.124753)
(5,1,0.127267)
(6,1,0.123782)
(7,1,0.11945)
(2,1,0.125779)
(3,2,0.12635)
(4,2,0.130743)
(5,2,0.124545)
(6,2,0.124883)
(7,2,0.12635)
(3,1,0.119164)
(3,2,0.1253)
(4,3,0.122933)
(5,3,0.12685)
(6,3,0.120028)
(7,3,0.121422)
(13,3,0.12675)
(4,2,0.12565)
(4,3,0.125218)
(5,4,0.12332)
(6,4,0.130243)
(7,4,0.12405)
(5,1,0.1333)
(5,2,0.123433)
(5,3,0.125902)
(5,4,0.1274)
(6,5,0.126514)
(6,1,0.124238)
(6,2,0.13285)
(6,3,0.122682)
(6,4,0.128833)
(6,5,0.123271)
(7,6,0.1335)
(7,1,0.1307)
(7,3,0.125588)
(7,5,0.1198)
(13,3,0.1266)
#
2
y
