1,2,3,4,5,6,7,8,9,10
(1,3,0.120167)
(1,4,0.126135)
(1,5,0.126275)
(1,6,0.126014)
(1,7,0.122513)
(2,3,0.1261)
(2,4,0.127405)
(2,5,0.125835)
(2,6,0.122)
(2,7,0.12528)
(2,8,0.129571)
(1,3,0.132233)
(2,3,0.1292)
(3,4,0.126549)
(3,5,0.125967)
(3,7,0.131)
(3,8,0.1328)
(1,4,0.122468)
(2,4,0.125731)
(3,4,0.123461)
(4,5,0.123082)
(4,6,0.124133)
(4,7,0.124021)
(4,8,0.126493)
(4,9,0.1292)
(4,10,0.1287)
(2,5,0.122086)
(3,5,0.12758)
(4,5,0.123412)
(5,6,0.1242)
(5,7,0.122996)
(5,8,0.125617)
(1,6,0.1167)
(2,6,0.12705)
(3,6,0.1199)
(4,6,0.12334)
(5,6,0.1223)
(6,7,0.124533)
(6,8,0.12302)
(1,7,0.1298)
(2,7,0.128686)
(3,7,0.121289)
(4,7,0.125392)
(5,7,0.12249)
(6,7,0.129674)
(7,8,0.126508)
(1,8,0.1071)
(2,8,0.126867)
(3,8,0.1135)
(4,8,0.128812)
(5,8,0.124085)
(6,8,0.1258)
(7,8,0.126383)
(4,9,0.1268)
(4,10,0.1347)
(5,10,0.1263)
(3,1,0.120167)
(4,1,0.126135)
(5,1,0.126275)
(6,1,0.126014)
(7,1,0.122513)
(3,2,0.1261)
(4,2,0.127405)
(5,2,0.125835)
(6,2,0.122)
(7,2,0.12528)
(8,2,0.129571)
(3,1,0.132233)
(3,2,0.1292)
(4,3,0.126549)
(5,3,0.125967)
(7,3,0.131)
(8,3,0.1328)
(4,1,0.122468)
(4,2,0.125731)
(4,3,0.123461)
(5,4,0.123082)
(6,4,0.124133)
(7,4,0.124021)
(8,4,0.126493)
(9,4,0.1292)
(10,4,0.1287)
(5,2,0.122086)
(5,3,0.12758)
(5,4,0.123412)
(6,5,0.1242)
(7,5,0.122996)
(8,5,0.125617)
(6,1,0.1167)
(6,2,0.12705)
(6,3,0.1199)
(6,4,0.12334)
(6,5,0.1223)
(7,6,0.124533)
(8,6,0.12302)
(7,1,0.1298)
(7,2,0.128686)
(7,3,0.121289)
(7,4,0.125392)
(7,5,0.12249)
(7,6,0.129674)
(8,7,0.126508)
(8,1,0.1071)
(8,2,0.126867)
(8,3,0.1135)
(8,4,0.128812)
(8,5,0.124085)
(8,6,0.1258)
(8,7,0.126383)
(9,4,0.1268)
(10,4,0.1347)
(10,5,0.1263)
#
2
y
