2,3,4,5,8,10,7,12,9,13,18,19,20,26
(2,3,0.126866)
(2,5,0.1349)
(2,8,0.130367)
(2,12,0.13026)
(2,3,0.126032)
(3,4,0.1053)
(3,5,0.11724)
(3,7,0.1278)
(3,8,0.12774)
(3,9,0.11485)
(3,10,0.10434)
(3,12,0.127732)
(3,13,0.1243)
(3,4,0.1296)
(4,12,0.1277)
(3,5,0.121467)
(5,8,0.130229)
(5,12,0.122092)
(5,13,0.1349)
(2,7,0.1275)
(3,7,0.130667)
(2,8,0.130725)
(3,8,0.12975)
(5,8,0.1347)
(8,12,0.126094)
(8,18,0.1336)
(3,9,0.116475)
(3,10,0.12348)
(10,12,0.1339)
(3,12,0.127678)
(5,12,0.1174)
(8,12,0.126533)
(2,13,0.129675)
(7,13,0.1331)
(8,13,0.13115)
(12,18,0.13025)
(3,19,0.1056)
(12,20,0.1239)
(3,26,0.1349)
(3,2,0.126866)
(5,2,0.1349)
(8,2,0.130367)
(12,2,0.13026)
(3,2,0.126032)
(4,3,0.1053)
(5,3,0.11724)
(7,3,0.1278)
(8,3,0.12774)
(9,3,0.11485)
(10,3,0.10434)
(12,3,0.127732)
(13,3,0.1243)
(4,3,0.1296)
(12,4,0.1277)
(5,3,0.121467)
(8,5,0.130229)
(12,5,0.122092)
(13,5,0.1349)
(7,2,0.1275)
(7,3,0.130667)
(8,2,0.130725)
(8,3,0.12975)
(8,5,0.1347)
(12,8,0.126094)
(18,8,0.1336)
(9,3,0.116475)
(10,3,0.12348)
(12,10,0.1339)
(12,3,0.127678)
(12,5,0.1174)
(12,8,0.126533)
(13,2,0.129675)
(13,7,0.1331)
(13,8,0.13115)
(18,12,0.13025)
(19,3,0.1056)
(20,12,0.1239)
(26,3,0.1349)
#
2
y
