1,2,4,5,6,8,7,12,9,16,3,13
(1,2,0.128356)
(1,5,0.126088)
(1,6,0.123857)
(1,7,0.125637)
(1,8,0.125767)
(1,12,0.125267)
(1,2,0.125367)
(2,4,0.123642)
(2,5,0.124071)
(2,6,0.127442)
(2,7,0.127623)
(2,8,0.1176)
(2,9,0.1322)
(2,16,0.1328)
(2,3,0.1324)
(2,4,0.124875)
(4,5,0.124225)
(4,6,0.12335)
(4,8,0.1228)
(1,5,0.128625)
(2,5,0.121238)
(4,5,0.1261)
(5,6,0.119708)
(5,7,0.118839)
(5,8,0.1349)
(1,6,0.1234)
(2,6,0.128481)
(4,6,0.13035)
(5,6,0.125743)
(6,7,0.126108)
(6,8,0.119867)
(6,12,0.1326)
(6,13,0.1336)
(1,7,0.1228)
(2,7,0.122637)
(5,7,0.1194)
(6,7,0.127929)
(1,8,0.1197)
(2,8,0.127215)
(4,8,0.1101)
(6,8,0.12468)
(8,12,0.1009)
(2,12,0.127714)
(7,12,0.1227)
(8,12,0.1307)
(7,13,0.13025)
(2,16,0.1259)
(2,1,0.128356)
(5,1,0.126088)
(6,1,0.123857)
(7,1,0.125637)
(8,1,0.125767)
(12,1,0.125267)
(2,1,0.125367)
(4,2,0.123642)
(5,2,0.124071)
(6,2,0.127442)
(7,2,0.127623)
(8,2,0.1176)
(9,2,0.1322)
(16,2,0.1328)
(3,2,0.1324)
(4,2,0.124875)
(5,4,0.124225)
(6,4,0.12335)
(8,4,0.1228)
(5,1,0.128625)
(5,2,0.121238)
(5,4,0.1261)
(6,5,0.119708)
(7,5,0.118839)
(8,5,0.1349)
(6,1,0.1234)
(6,2,0.128481)
(6,4,0.13035)
(6,5,0.125743)
(7,6,0.126108)
(8,6,0.119867)
(12,6,0.1326)
(13,6,0.1336)
(7,1,0.1228)
(7,2,0.122637)
(7,5,0.1194)
(7,6,0.127929)
(8,1,0.1197)
(8,2,0.127215)
(8,4,0.1101)
(8,6,0.12468)
(12,8,0.1009)
(12,2,0.127714)
(12,7,0.1227)
(12,8,0.1307)
(13,7,0.13025)
(16,2,0.1259)
#
2
y
