1,2,3,4,5,7,9,10,12
(1,2,0.123758)
(1,3,0.123432)
(1,4,0.12626)
(1,5,0.12622)
(1,7,0.12735)
(1,9,0.11555)
(1,2,0.121958)
(2,3,0.12357)
(2,4,0.1284)
(2,5,0.126855)
(2,7,0.122089)
(2,9,0.1269)
(1,3,0.120763)
(2,3,0.121917)
(3,4,0.129587)
(3,5,0.12372)
(3,7,0.12236)
(3,9,0.120831)
(1,4,0.12915)
(2,4,0.12537)
(3,4,0.124968)
(4,5,0.123629)
(4,7,0.125959)
(4,9,0.12885)
(1,5,0.125408)
(2,5,0.126917)
(3,5,0.127163)
(4,5,0.12355)
(5,7,0.124201)
(5,9,0.1329)
(1,7,0.1183)
(2,7,0.117514)
(3,7,0.122939)
(4,7,0.126867)
(5,7,0.125746)
(2,9,0.125)
(3,9,0.12604)
(4,9,0.1289)
(7,9,0.12135)
(3,10,0.1282)
(3,12,0.1109)
(2,1,0.123758)
(3,1,0.123432)
(4,1,0.12626)
(5,1,0.12622)
(7,1,0.12735)
(9,1,0.11555)
(2,1,0.121958)
(3,2,0.12357)
(4,2,0.1284)
(5,2,0.126855)
(7,2,0.122089)
(9,2,0.1269)
(3,1,0.120763)
(3,2,0.121917)
(4,3,0.129587)
(5,3,0.12372)
(7,3,0.12236)
(9,3,0.120831)
(4,1,0.12915)
(4,2,0.12537)
(4,3,0.124968)
(5,4,0.123629)
(7,4,0.125959)
(9,4,0.12885)
(5,1,0.125408)
(5,2,0.126917)
(5,3,0.127163)
(5,4,0.12355)
(7,5,0.124201)
(9,5,0.1329)
(7,1,0.1183)
(7,2,0.117514)
(7,3,0.122939)
(7,4,0.126867)
(7,5,0.125746)
(9,2,0.125)
(9,3,0.12604)
(9,4,0.1289)
(9,7,0.12135)
(10,3,0.1282)
(12,3,0.1109)
#
2
y
