1,2,3,4,5,7,6,8,9,13
(1,2,0.126177)
(1,3,0.123271)
(1,4,0.123714)
(1,6,0.1335)
(1,7,0.127)
(1,8,0.121431)
(1,9,0.1048)
(1,2,0.121436)
(2,3,0.125933)
(2,4,0.127178)
(2,5,0.126383)
(2,7,0.126091)
(2,8,0.126812)
(2,9,0.129625)
(1,3,0.122195)
(2,3,0.12425)
(3,4,0.123764)
(3,5,0.1214)
(3,6,0.1129)
(3,7,0.125219)
(3,8,0.12206)
(3,9,0.1242)
(3,13,0.1312)
(1,4,0.130975)
(2,4,0.12095)
(3,4,0.124561)
(4,5,0.126725)
(4,7,0.126624)
(4,8,0.127156)
(4,9,0.12345)
(2,5,0.125175)
(3,5,0.124143)
(5,7,0.122222)
(5,8,0.123989)
(3,6,0.12535)
(1,7,0.1336)
(3,7,0.126536)
(4,7,0.1196)
(5,7,0.1182)
(7,8,0.1275)
(1,8,0.126079)
(2,8,0.129175)
(3,8,0.126219)
(4,8,0.1256)
(5,8,0.119775)
(7,8,0.124898)
(1,9,0.131)
(2,9,0.12655)
(3,9,0.12615)
(4,9,0.13)
(7,9,0.12135)
(3,13,0.1224)
(2,1,0.126177)
(3,1,0.123271)
(4,1,0.123714)
(6,1,0.1335)
(7,1,0.127)
(8,1,0.121431)
(9,1,0.1048)
(2,1,0.121436)
(3,2,0.125933)
(4,2,0.127178)
(5,2,0.126383)
(7,2,0.126091)
(8,2,0.126812)
(9,2,0.129625)
(3,1,0.122195)
(3,2,0.12425)
(4,3,0.123764)
(5,3,0.1214)
(6,3,0.1129)
(7,3,0.125219)
(8,3,0.12206)
(9,3,0.1242)
(13,3,0.1312)
(4,1,0.130975)
(4,2,0.12095)
(4,3,0.124561)
(5,4,0.126725)
(7,4,0.126624)
(8,4,0.127156)
(9,4,0.12345)
(5,2,0.125175)
(5,3,0.124143)
(7,5,0.122222)
(8,5,0.123989)
(6,3,0.12535)
(7,1,0.1336)
(7,3,0.126536)
(7,4,0.1196)
(7,5,0.1182)
(8,7,0.1275)
(8,1,0.126079)
(8,2,0.129175)
(8,3,0.126219)
(8,4,0.1256)
(8,5,0.119775)
(8,7,0.124898)
(9,1,0.131)
(9,2,0.12655)
(9,3,0.12615)
(9,4,0.13)
(9,7,0.12135)
(13,3,0.1224)
#
2
y
